Longitude,Latitude,Spatial Uncertainty,Sample ID,Sample Date
-73.8026227469187,64.3775954619024,30,N_100_1,2023-06-21
-83.6035508762252,34.5343168581426,30,N_100_2,2023-06-21
-114.177080612821,53.6642920969861,30,N_100_3,2023-06-21
-100.568081866082,43.7213657579646,30,N_100_4,2023-06-21
-83.8011520991355,30.4150873300031,30,N_100_5,2023-06-21
-141.549885572859,61.7024249677575,30,N_100_6,2023-06-21
-121.697089996208,47.9076039924237,30,N_100_7,2023-06-21
-154.012525177831,64.5590721443468,30,N_100_8,2023-06-21
-68.0966027384061,51.8193205842991,30,N_100_9,2023-06-21
-86.8811609271032,45.9785886712548,30,N_100_10,2023-06-21
-110.336946517724,47.8197406624196,30,N_100_11,2023-06-21
-109.679107336955,59.361142072403,30,N_100_12,2023-06-21
-87.9507247978226,51.2613750873463,30,N_100_13,2023-06-21
-84.6689233689379,68.1665339804193,30,N_100_14,2023-06-21
-100.759078419907,40.3268904050106,30,N_100_15,2023-06-21
-70.0748073034795,50.8880187457282,30,N_100_16,2023-06-21
-74.0488918394576,56.0601125213488,30,N_100_17,2023-06-21
-80.6986322577801,39.9052040061191,30,N_100_18,2023-06-21
-150.917903645908,59.6120828262192,30,N_100_19,2023-06-21
-98.9364095372829,37.2710850834864,30,N_100_20,2023-06-21
-89.0027580869174,49.7815389082773,30,N_100_21,2023-06-21
-84.0188656688412,40.0969289101189,30,N_100_22,2023-06-21
-100.561178105343,41.8706756282912,30,N_100_23,2023-06-21
-159.881111820787,64.4664677573743,30,N_100_24,2023-06-21
-110.524272575988,40.4279191207478,30,N_100_25,2023-06-21
-97.766996437598,42.5715314222051,30,N_100_26,2023-06-21
-102.687193531635,59.4357716152757,30,N_100_27,2023-06-21
-71.4764240818396,54.5730555851463,30,N_100_28,2023-06-21
-124.989403339294,63.0684501888527,30,N_100_29,2023-06-21
-95.5729384540113,70.0775258171586,30,N_100_30,2023-06-21
-126.468745923924,64.0812585416435,30,N_100_31,2023-06-21
-56.1431413106556,52.5675641225176,30,N_100_32,2023-06-21
-123.949232514892,73.5476781243439,30,N_100_33,2023-06-21
-135.344800930297,67.6998593720259,30,N_100_34,2023-06-21
-78.0052843394733,63.3181064433345,30,N_100_35,2023-06-21
-83.1096797736077,43.0311133467124,30,N_100_36,2023-06-21
-160.62868275963,68.6245612380064,30,N_100_37,2023-06-21
-98.4539488773542,45.0208805296912,30,N_100_38,2023-06-21
-124.048542142067,51.7240009637628,30,N_100_39,2023-06-21
-96.4647085907361,55.6801565957846,30,N_100_40,2023-06-21
-72.355124021941,42.645248129285,30,N_100_41,2023-06-21
-160.297072347186,69.0050368258543,30,N_100_42,2023-06-21
-124.503211763781,61.1612159297119,30,N_100_43,2023-06-21
-105.736368090972,71.3183691101617,30,N_100_44,2023-06-21
-105.259985869299,54.2201409176874,30,N_100_45,2023-06-21
-82.7753377576755,69.2895943108269,30,N_100_46,2023-06-21
-99.625805603483,29.2496190146039,30,N_100_47,2023-06-21
-152.152094532384,65.5288540744166,30,N_100_48,2023-06-21
-118.850946188652,34.8518882570538,30,N_100_49,2023-06-21
-85.4904774988779,39.1774153111227,30,N_100_50,2023-06-21
-142.9920703442,65.4401581636693,30,N_100_51,2023-06-21
-118.651721062693,63.306052580323,30,N_100_52,2023-06-21
-103.87211752949,33.3495834294361,30,N_100_53,2023-06-21
-114.811093913458,33.5285841038362,30,N_100_54,2023-06-21
-161.197042559188,62.8048270594392,30,N_100_55,2023-06-21
-102.995935675364,34.6012350103384,30,N_100_56,2023-06-21
-83.118245126789,34.9022222690155,30,N_100_57,2023-06-21
-131.283776659755,57.7439520141521,30,N_100_58,2023-06-21
-103.86114607212,43.9023644527534,30,N_100_59,2023-06-21
-116.181997764646,52.960437179789,30,N_100_60,2023-06-21
-66.0225442706783,50.2922154515532,30,N_100_61,2023-06-21
-82.8417396146524,38.478178699084,30,N_100_62,2023-06-21
-116.601256405378,57.8607231562388,30,N_100_63,2023-06-21
-119.919656825009,40.1773965781029,30,N_100_64,2023-06-21
-69.2831985240593,50.1820563150825,30,N_100_65,2023-06-21
-121.133159744876,59.8653247280368,30,N_100_66,2023-06-21
-129.264196662876,57.8104415963109,30,N_100_67,2023-06-21
-82.0825814021791,34.2692443545208,30,N_100_68,2023-06-21
-122.963950900506,58.5179587536681,30,N_100_69,2023-06-21
-82.5965596703453,38.8222876132855,30,N_100_70,2023-06-21
-65.2969294503974,55.7022758979438,30,N_100_71,2023-06-21
-116.571047145543,50.4868311068655,30,N_100_72,2023-06-21
-69.0343272756362,58.4024124091709,30,N_100_73,2023-06-21
-102.792372007274,52.5776245989764,30,N_100_74,2023-06-21
-93.8748280830753,81.0780854280719,30,N_100_75,2023-06-21
-100.924366796754,72.2664023403159,30,N_100_76,2023-06-21
-120.960393241004,66.578805373016,30,N_100_77,2023-06-21
-102.731419735606,38.2426422062256,30,N_100_78,2023-06-21
-76.877382136129,41.7642282093906,30,N_100_79,2023-06-21
-121.176819855843,45.1076326508787,30,N_100_80,2023-06-21
-104.989569742891,46.8275285595876,30,N_100_81,2023-06-21
-119.204383021351,67.9722737403269,30,N_100_82,2023-06-21
-67.7311340476691,58.3755805107649,30,N_100_83,2023-06-21
-86.3930022327208,51.5513549227596,30,N_100_84,2023-06-21
-96.3665181964519,66.8535710094861,30,N_100_85,2023-06-21
-89.5605963618972,46.0409249163264,30,N_100_86,2023-06-21
-107.853665233732,46.6442285822668,30,N_100_87,2023-06-21
-78.4226834975613,60.7985845715804,30,N_100_88,2023-06-21
-98.9076587148705,59.1365989817174,30,N_100_89,2023-06-21
-83.0130590464175,77.3516001664592,30,N_100_90,2023-06-21
-137.603785870443,66.4152830262102,30,N_100_91,2023-06-21
-78.6951759668653,54.2678982926247,30,N_100_92,2023-06-21
-132.934889528197,68.5246208309673,30,N_100_93,2023-06-21
-98.077236713787,35.0557275329943,30,N_100_94,2023-06-21
-110.062291797108,66.7854727388483,30,N_100_95,2023-06-21
-66.8712293312696,66.7212917636719,30,N_100_96,2023-06-21
-74.1351925257182,52.5979042234068,30,N_100_97,2023-06-21
-70.482089742793,47.5144535029076,30,N_100_98,2023-06-21
-156.089428317224,70.8899642320615,30,N_100_99,2023-06-21
-118.082231249908,76.8542667987395,30,N_100_100,2023-06-21
